dateid,day,month,year,dayofweek,dayofyear
2152,2,4,2019,2,92
2153,27,12,2017,3,361
2154,2,8,2014,6,214
2155,,,2018,,
2156,26,6,2014,4,177
2157,9,6,2011,4,160
2158,14,1,2009,3,14
2159,3,8,2012,5,216
2160,28,5,2014,3,148
2161,25,7,2016,1,207
2162,9,7,2018,1,190
2163,2,12,2015,3,336
2164,6,5,2017,6,126
2165,12,1,2017,4,12
2166,10,7,2014,4,191
2167,18,3,2010,4,77
2168,24,7,2007,2,205
2169,,,1995,,
2170,18,9,2016,0,262
2171,27,9,2011,2,270
2172,,,2003,,
2173,8,7,2017,6,189
2174,13,1,2015,2,13
2175,18,10,2016,2,292
2176,16,10,2017,1,289
2177,22,10,2018,1,295
2178,14,6,2018,4,165
2179,20,3,2015,5,79
2180,16,3,2017,4,75
2181,27,3,2015,5,86
