developerid,name,city,administrativedivision,country,founding_year
485,Red Storm Entertainment,Cary,North Carolina,United States,1996
486,RedTribe (Tribalant),Melbourne,Victoria,Australia,2003
487,Reflexive Entertainment,Lake Forest,California,United States,1997
488,Relic Entertainment,Vancouver,British Columbia,Canada,1997
489,Remedy Entertainment,Espoo,,Finland,1995
491,Reto-Moto,Copenhagen,,Denmark,2008
492,Retro Studios,Austin,Texas,United States,1998
493,Revolution Software,York,England,United Kingdom,1990
494,Riot Games,Santa Monica,California,United States,2006
495,Rising Star Games,Luton,England,United Kingdom,2004
496,Robot Entertainment,Plano,Texas,United States,2009
498,Rocksteady Studios,London,England,United Kingdom,2005
499,Robinson Technologies,Hiroshima,,Japan,1989
500,Rovio Entertainment,Espoo,,Finland,2003
501,Ruffian Games,Dundee,Scotland,United Kingdom,2008
502,Runic Games,Seattle,Washington,United States,2008
503,Running with Scissors,Tucson,Arizona,United States,1997
504,Saber Interactive,Millburn,New Jersey,United States,2001
505,Sand Grain Studios,Bucharest,,Romania,2002
506,Sandlot,Tokyo,,Japan,2001
507,Sanzaru Games,Foster City,California,United States,2006
508,Sir-Tech,Ogdensburg,New York,United StatesCanada,1979
490,Respawn Entertainment,Los Angeles,California,United States,2010
509,Schell Games,Pittsburgh,Pennsylvania,United States,2002
510,SCS Software,Prague,,Czech Republic,1997
511,Sega,"Ota, Tokyo,San Francisco",California,United States,1960
512,SEGA Interactive R&D Division 1 (Sega AM1),Tokyo,,Japan,1984
513,SEGA Interactive R&D Division 2 (Sega AM2),Ota,,Japan,1985
514,Sega AM3,Tokyo,,Japan,1991
515,Sega CS Research and Development No. 2 (Sonic Team),Tokyo,,Japan,1996
516,Sega Sports R&D,Tokyo,,Japan,1994
517,Sensible Software,Cambridge,England,United Kingdom,1986
518,Shift,Kanagawa,,Japan,1996
519,SIE Bend Studio,Bend,Oregon,United States,1993
520,SIE San Mateo Studio (formerly SIE Foster City Studio),San Mateo,California,United States,1998
521,SIE Japan Studio,Tokyo,,Japan,1993
522,SIE London Studio,London,England,United Kingdom,2002
523,SIE San Diego Studio,San Diego,California,United States,2001
524,SIE Santa Monica Studio,Los Angeles,California,United States,1999
525,SCE Studio Liverpool,Liverpool,England,United Kingdom,1984
526,SIE Worldwide Studios,"Tokyo, Fukuoka, Santa Monica, Los Angeles, San Die","California, Washington, Oregon, England","Japan, United States, Netherlands, United Kingdom",2005
527,SingleTrac,Salt Lake City,Utah,United States,1994
528,Shengqu Games,Shanghai,,China,1999
529,Sherman3D,Petaling Jaya,,Malaysia,2003
530,Shin'en Multimedia,Munich,,Germany,1999
531,Sierra Entertainment,Oakhurst,California,United States,1979
532,Silicon Knights,St. Catharines,Ontario,Canada,1992
533,Silicon Studio,Tokyo,,Japan,2000
534,Simtex,Austin,Texas,United States,1988
535,skip Ltd.,Tokyo,,Japan,2000
536,Slant Six Games,Vancouver,British Columbia,Canada,2005
537,Sledgehammer Games,Foster City,California,United States,2009
538,Snail,Suzhou,,China,2000
539,Snapshot Games,Sofia,,Bulgaria,2013
540,Slightly Mad Studios,London,England,United Kingdom,2008
541,Slipgate Ironworks,Aars,,Denmark,2017
542,Slitherine Software,Epsom,England,United Kingdom,2000
543,Smilegate,Seoul,,South Korea,2002
544,SNK,Osaka,,Japan,2001
545,Sobee Studios,Istanbul,,Turkey,2000
546,Snowblind Studios,Seattle,Washington,United States,1997
547,Software 2000,Eutin,,Germany,1987
548,Sony Computer Entertainment,"Tokyo (SIE, Inc.) San Mateo (SIE, LLC)","Japan (SIE, Inc.) California (SIE, LLC)",United States,1994
549,Sora Ltd.,Tokyo,,Japan,2005
550,Spellbound Entertainment,Offenburg,,Germany,1994
551,Spiders,Paris,,France,2008
552,Spike,Tokyo,,Japan,1991
